group_id,quarter_issue_date_dt,Treated,Count,Post,log_Count
A47C,2014-12-31,0,1,1,0.0
A47C,2015-03-31,1,1,1,0.0
A47C,2015-06-30,0,1,1,0.0
A47C,2015-09-30,0,5,1,1.6094379124341003
A47C,2015-12-31,1,1,1,0.0
A47C,2016-03-31,0,2,1,0.6931471805599453
A47C,2016-06-30,0,3,1,1.0986122886681098
A47C,2016-12-31,0,2,1,0.6931471805599453
A47D,2014-12-31,0,1,1,0.0
A47F,2012-03-31,0,2,0,0.6931471805599453
A47F,2012-06-30,0,2,0,0.6931471805599453
A47F,2012-09-30,0,1,0,0.0
A47F,2012-12-31,0,1,0,0.0
A47F,2012-12-31,1,1,0,0.0
A47F,2013-03-31,0,3,0,1.0986122886681098
A47F,2013-06-30,0,2,0,0.6931471805599453
A47F,2013-09-30,0,3,0,1.0986122886681098
A47F,2013-12-31,0,4,0,1.3862943611198906
A47F,2014-03-31,0,4,0,1.3862943611198906
A47F,2014-06-30,0,3,1,1.0986122886681098
A47F,2014-06-30,1,1,1,0.0
A47F,2014-09-30,0,1,1,0.0
A47F,2014-12-31,0,2,1,0.6931471805599453
A47F,2015-03-31,0,1,1,0.0
A47F,2015-06-30,0,2,1,0.6931471805599453
A47F,2015-09-30,0,3,1,1.0986122886681098
A47F,2015-12-31,0,3,1,1.0986122886681098
A47F,2016-03-31,0,3,1,1.0986122886681098
A47F,2016-06-30,0,4,1,1.3862943611198906
A47F,2016-09-30,0,2,1,0.6931471805599453
A47F,2016-12-31,0,1,1,0.0
A47G,2012-03-31,0,2,0,0.6931471805599453
A47G,2012-06-30,0,1,0,0.0
A47G,2012-09-30,0,2,0,0.6931471805599453
A47G,2012-12-31,0,2,0,0.6931471805599453
A47G,2013-06-30,0,1,0,0.0
A47G,2013-09-30,0,1,0,0.0
A47G,2013-12-31,0,2,0,0.6931471805599453
A47G,2014-03-31,0,1,0,0.0
A47G,2014-06-30,0,2,1,0.6931471805599453
A47G,2014-12-31,0,1,1,0.0
A47G,2015-12-31,0,1,1,0.0
A47G,2016-06-30,0,1,1,0.0
A47G,2016-09-30,0,1,1,0.0
A47G,2016-12-31,0,1,1,0.0
A47J,2012-03-31,0,1,0,0.0
A47J,2012-12-31,0,1,0,0.0
A47J,2013-09-30,0,2,0,0.6931471805599453
A47J,2014-03-31,0,2,0,0.6931471805599453
A47J,2014-09-30,0,2,1,0.6931471805599453
A47J,2014-12-31,0,1,1,0.0
A47J,2015-09-30,0,2,1,0.6931471805599453
A47J,2015-12-31,0,1,1,0.0
A47J,2016-03-31,0,1,1,0.0
A47J,2016-06-30,0,1,1,0.0
A47J,2016-12-31,0,1,1,0.0
A47J,2016-12-31,1,1,1,0.0
A47K,2012-09-30,0,1,0,0.0
A47K,2014-06-30,0,1,1,0.0
A47K,2016-09-30,0,1,1,0.0
A47L,2012-09-30,0,1,0,0.0
A47L,2014-06-30,0,1,1,0.0
A47L,2014-12-31,0,1,1,0.0
A47L,2015-03-31,0,1,1,0.0
A47L,2015-06-30,1,1,1,0.0
A47L,2016-06-30,0,4,1,1.3862943611198906
A47L,2016-09-30,0,4,1,1.3862943611198906
A47L,2016-09-30,1,1,1,0.0
A61B,2012-03-31,0,15,0,2.70805020110221
A61B,2012-03-31,1,2,0,0.6931471805599453
A61B,2012-06-30,0,23,0,3.1354942159291497
A61B,2012-06-30,1,1,0,0.0
A61B,2012-09-30,0,22,0,3.091042453358316
A61B,2012-09-30,1,2,0,0.6931471805599453
A61B,2012-12-31,0,32,0,3.4657359027997265
A61B,2012-12-31,1,4,0,1.3862943611198906
